NumOfBlock,NumOfTransaction,Time
1,1,9
1,10,55
1,100,463
1,500,2203
1,1000,4258
1,1500,6381
1,2000,8061
1,2500,10286
1,3000,12144
1,3500,11789
1,4000,12085
1,4500,13636
1,5000,15161
1,5500,20781
1,6000,23624
1,6500,27166
1,7000,28373
1,7500,20249
1,8000,23847
1,8500,24862
1,9000,35011
1,9500,37391
1,10000,24897
10,1,20
10,10,165
10,100,1721
10,500,8253
10,1000,16870
10,1500,26288
10,2000,36423
10,2500,42623
10,3000,49880
10,3500,59220
10,4000,67036
10,4500,75601
10,5000,85358
10,5500,91664
10,6000,101816
10,6500,108378
10,7000,117682
10,7500,126849
10,8000,136608
10,8500,143261
10,9000,151669
10,9500,155765
10,10000,158243
50,1,61
50,10,582
50,100,5810
50,500,28406
50,1000,56122
50,1500,82794
50,2000,109658
50,2500,138156
50,3000,166223
50,3500,190921
50,4000,220022
50,4500,245344
50,5000,276182
50,5500,301284
50,6000,328715
50,6500,357131
50,7000,386106
50,7500,413182
50,8000,442575
50,8500,468064
50,9000,497007
50,9500,528321
50,10000,553516
100,1,125
100,10,1153
100,100,10668
100,500,53247
100,1000,106405
100,1500,157668
100,2000,210319
100,2500,262031
100,3000,315568
100,3500,369120
100,4000,421695
100,4500,475115
100,5000,526249
100,5500,578550
100,6000,631317
100,6500,683926
100,7000,737485
100,7500,787974
100,8000,841119
100,8500,894484
100,9000,946002
100,9500,1000152
100,10000,1052868
200,1,253
200,10,2229
200,100,21061
200,500,104033
200,1000,208424
